TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jsoup.parser.CharacterReader,BRANCH,1.0,93,92
org.jsoup.safety.Whitelist,BRANCH,0.945054945054945,91,86
org.jsoup.helper.DataUtil,BRANCH,0.5714285714285714,28,16
org.jsoup.select.CombiningEvaluator,BRANCH,1.0,18,18
org.jsoup.select.QueryParser,BRANCH,0.9791666666666666,96,94
org.jsoup.nodes.Element,BRANCH,0.9651741293532339,201,194
org.jsoup.nodes.Node,BRANCH,0.954954954954955,111,106
org.jsoup.select.Elements,BRANCH,1.0,116,116
org.jsoup.parser.CharacterReader,BRANCH,1.0,109,109
org.jsoup.parser.Tokeniser,BRANCH,0.9883720930232558,86,85
org.jsoup.parser.TokeniserState,BRANCH,0.0,843,0
org.jsoup.parser.Tag,BRANCH,0.9491525423728814,59,56
org.jsoup.safety.Cleaner,BRANCH,0.4444444444444444,18,8
org.jsoup.helper.DataUtil,BRANCH,0.5,32,16
org.jsoup.nodes.Entities,BRANCH,0.5925925925925926,27,16
org.jsoup.parser.Parser,BRANCH,1.0,17,17
org.jsoup.parser.Tokeniser,BRANCH,0.9354838709677419,93,87
org.jsoup.nodes.Document,BRANCH,1.0,60,60
org.jsoup.safety.Cleaner,BRANCH,0.9565217391304348,23,22
org.jsoup.parser.Token,BRANCH,1.0,65,65
org.jsoup.parser.TokeniserState,BRANCH,0.0,889,0
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.9512195121951219,41,39
org.jsoup.nodes.Element,BRANCH,0.9855072463768116,207,204
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.9635627530364372,247,237
org.jsoup.parser.CharacterReader,BRANCH,1.0,141,141
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.0,816,0
org.jsoup.helper.DataUtil,BRANCH,0.5686274509803921,51,29
org.jsoup.nodes.Element,BRANCH,0.9864864864864865,222,219
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.0,818,0
org.jsoup.helper.DataUtil,BRANCH,0.5686274509803921,51,29
org.jsoup.nodes.DocumentType,BRANCH,1.0,9,9
org.jsoup.nodes.Element,BRANCH,0.979253112033195,241,236
org.jsoup.nodes.FormElement,BRANCH,0.75,32,24
org.jsoup.nodes.Element,BRANCH,0.9754098360655737,244,238
org.jsoup.parser.TreeBuilder,BRANCH,1.0,14,14
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.976,250,240
org.jsoup.nodes.Entities,BRANCH,0.6986301369863014,73,51
org.jsoup.nodes.Entities,BRANCH,0.7466666666666667,75,56
org.jsoup.helper.HttpConnection,BRANCH,0.7015503875968992,258,181
org.jsoup.nodes.Node,BRANCH,0.9925373134328358,134,133
org.jsoup.helper.DataUtil,BRANCH,0.7590361445783133,83,63
org.jsoup.parser.CharacterReader,BRANCH,0.9644670050761421,197,190
org.jsoup.helper.DataUtil,BRANCH,0.4943820224719101,89,44
org.jsoup.nodes.XmlDeclaration,BRANCH,1.0,10,10
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.9523809523809523,42,40
org.jsoup.parser.TokenQueue,BRANCH,0.9922480620155039,129,122
org.jsoup.helper.W3CDom,BRANCH,1.0,32,32
org.jsoup.parser.TokeniserState,BRANCH,0.0,827,0
org.jsoup.nodes.DocumentType,BRANCH,1.0,22,22
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.0,824,0
org.jsoup.parser.Token,BRANCH,1.0,84,84
org.jsoup.parser.TokeniserState,BRANCH,0.0,827,0
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.9090909090909091,44,40
org.jsoup.nodes.Attributes,BRANCH,0.8488372093023255,86,73
org.jsoup.Jsoup,BRANCH,1.0,15,15
org.jsoup.parser.Parser,BRANCH,1.0,23,23
org.jsoup.safety.Cleaner,BRANCH,0.8484848484848485,33,28
org.jsoup.parser.Token,BRANCH,1.0,86,86
org.jsoup.parser.TokenQueue,BRANCH,0.9923664122137404,131,127
org.jsoup.select.QueryParser,BRANCH,0.9072847682119205,151,137
org.jsoup.nodes.Element,BRANCH,0.9844961240310077,258,253
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.0,824,0
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.9799196787148594,249,244
org.jsoup.parser.Tokeniser,BRANCH,0.9150943396226415,106,97
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.0,874,0
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.9598393574297188,249,239
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.0,878,0
org.jsoup.nodes.Element,BRANCH,0.9860627177700348,287,283
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.9760956175298805,251,243
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.9800796812749004,251,246
org.jsoup.nodes.FormElement,BRANCH,0.9375,32,30
org.jsoup.nodes.Element,BRANCH,0.9828178694158075,291,285
org.jsoup.nodes.PseudoTextElement,BRANCH,1.0,3,3
org.jsoup.select.Evaluator,BRANCH,0.9949238578680203,197,196
org.jsoup.select.QueryParser,BRANCH,0.9084967320261438,153,139
org.jsoup.parser.CharacterReader,BRANCH,0.9523809523809523,210,200
org.jsoup.helper.W3CDom,BRANCH,0.96875,32,31
org.jsoup.helper.StringUtil,BRANCH,0.978494623655914,93,89
org.jsoup.nodes.Attributes,BRANCH,0.8350515463917526,97,81
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.0011376564277588168,879,1
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.9565217391304348,46,44
org.jsoup.helper.DataUtil,BRANCH,0.625,96,60
org.jsoup.nodes.LeafNode,BRANCH,1.0,25,25
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.9166666666666666,48,44
org.jsoup.helper.DataUtil,BRANCH,0.6886792452830188,106,73
org.jsoup.helper.DataUtil,BRANCH,0.4077669902912621,103,42
org.jsoup.parser.CharacterReader,BRANCH,0.9537037037037037,216,206
org.jsoup.parser.TokeniserState,BRANCH,0.0,832,0
org.jsoup.helper.W3CDom,BRANCH,0.9722222222222222,36,35
org.jsoup.nodes.Attribute,BRANCH,0.9180327868852459,61,56
org.jsoup.nodes.Comment,BRANCH,1.0,16,16
org.jsoup.nodes.Element,BRANCH,0.9644012944983819,309,297
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.9682539682539683,252,242
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.001141552511415525,876,1
org.jsoup.parser.Tag,BRANCH,0.8695652173913043,69,59
org.jsoup.nodes.Attribute,BRANCH,0.9180327868852459,61,56
org.jsoup.nodes.Attribute,BRANCH,0.9344262295081968,61,57
org.jsoup.helper.HttpConnection,BRANCH,0.7147239263803681,326,233
org.jsoup.UncheckedIOException,BRANCH,1.0,3,3
org.jsoup.parser.CharacterReader,BRANCH,0.9434782608695652,230,217
org.jsoup.nodes.Attributes,BRANCH,0.8695652173913043,115,100
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.9534883720930233,258,246
org.jsoup.parser.ParseSettings,BRANCH,1.0,9,9
org.jsoup.parser.Token,BRANCH,1.0,89,89
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.8888888888888888,45,40
org.jsoup.nodes.FormElement,BRANCH,0.9117647058823529,34,31
com.google.javascript.jscomp.RemoveUnusedVars,BRANCH,0.11254019292604502,311,35
com.google.javascript.jscomp.TypeCheck,BRANCH,0.4714828897338403,1052,496
com.google.javascript.jscomp.FlowSensitiveInlineVariables,BRANCH,0.030120481927710843,166,5
com.google.javascript.rhino.jstype.NamedType,BRANCH,0.8333333333333334,96,80
com.google.javascript.jscomp.InlineObjectLiterals,BRANCH,0.015873015873015872,126,2
com.google.javascript.jscomp.TypeValidator,BRANCH,0.01834862385321101,218,4
com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter,BRANCH,0.7654320987654321,162,124
com.google.javascript.jscomp.CollapseVariableDeclarations,BRANCH,0.3870967741935484,62,24
com.google.javascript.jscomp.ProcessCommonJSModules,BRANCH,0.8431372549019608,51,43
org.apache.commons.codec.language.Caverphone,BRANCH,1.0,9,9
org.apache.commons.codec.language.Metaphone,BRANCH,0.9715639810426541,211,205
org.apache.commons.codec.language.SoundexUtils,BRANCH,1.0,20,20
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,BRANCH,0.9072164948453608,97,88
org.apache.commons.codec.binary.Base64,BRANCH,0.9668508287292817,181,175
org.apache.commons.compress.archivers.ar.ArArchiveInputStream,BRANCH,0.4576271186440678,59,27
org.apache.commons.codec.language.DoubleMetaphone,BRANCH,0.9384920634920635,504,473
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,1.0,37,37
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,BRANCH,0.8681318681318682,91,79
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,1.0,37,37
org.apache.commons.codec.binary.Base64,BRANCH,0.9898477157360406,197,195
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,BRANCH,0.7938931297709924,131,104
org.apache.commons.compress.changes.ChangeSetPerformer,BRANCH,0.23076923076923078,52,12
org.apache.commons.codec.binary.Base64,BRANCH,0.9850746268656716,201,198
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,BRANCH,0.32323232323232326,99,32
org.apache.commons.codec.binary.Base64InputStream,BRANCH,0.9705882352941176,34,33
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,BRANCH,0.9615384615384616,78,75
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,1.0,41,41
org.apache.commons.codec.binary.Base64,BRANCH,0.9800995024875622,201,197
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,1.0,52,48
org.apache.commons.codec.binary.Base64,BRANCH,0.9476439790575916,191,181
org.apache.commons.codec.binary.Base64InputStream,BRANCH,0.9666666666666667,30,29
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,1.0,50,50
org.apache.commons.compress.archivers.zip.ZipFile,BRANCH,0.16296296296296298,135,22
org.apache.commons.codec.binary.Base64,BRANCH,0.958974358974359,195,187
org.apache.commons.codec.language.Caverphone,BRANCH,1.0,9,9
org.apache.commons.compress.archivers.ArchiveStreamFactory,BRANCH,0.8775510204081632,49,43
org.apache.commons.codec.net.QuotedPrintableCodec,BRANCH,0.9605263157894737,76,73
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,BRANCH,0.4032258064516129,124,50
org.apache.commons.codec.binary.BaseNCodecInputStream,BRANCH,0.9736842105263158,38,37
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,BRANCH,0.9701492537313433,134,130
org.apache.commons.codec.binary.CharSequenceUtils,BRANCH,0.8666666666666667,15,13
org.apache.commons.codec.binary.StringUtils,BRANCH,1.0,32,32
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,1.0,66,63
org.apache.commons.codec.language.DoubleMetaphone,BRANCH,0.9377510040160643,498,467
org.apache.commons.codec.language.bm.PhoneticEngine,BRANCH,0.15555555555555556,90,14
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,BRANCH,0.9776119402985075,134,131
org.apache.commons.codec.language.Soundex,BRANCH,0.975,40,39
org.apache.commons.codec.binary.Base32,BRANCH,1.0,95,95
org.apache.commons.compress.archivers.ArchiveStreamFactory,BRANCH,0.8431372549019608,51,43
org.apache.commons.codec.binary.StringUtils,BRANCH,1.0,35,35
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.9444444444444444,126,118
org.apache.commons.codec.binary.StringUtils,BRANCH,1.0,39,39
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,0.9801980198019802,101,99
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField,BRANCH,1.0,72,72
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,BRANCH,0.39166666666666666,120,47
org.apache.commons.compress.archivers.sevenz.SevenZOutputFile,BRANCH,0.8300653594771242,153,127
org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream,BRANCH,0.06810035842293907,279,19
org.apache.commons.compress.archivers.sevenz.Coders,BRANCH,0.7777777777777778,54,41
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.9758064516129032,124,121
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,BRANCH,0.15708812260536398,261,41
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.9426229508196722,122,114
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,BRANCH,0.4444444444444444,144,64
org.apache.commons.compress.archivers.ArchiveStreamFactory,BRANCH,0.7956989247311828,93,74
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,BRANCH,0.3389830508474576,118,40
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,BRANCH,0.9083333333333333,120,109
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,BRANCH,0.0390625,128,5
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,BRANCH,0.23809523809523808,147,35
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,0.7421875,128,94
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,BRANCH,0.13026819923371646,261,34
org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream,BRANCH,0.05693950177935943,281,16
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.9344262295081968,122,113
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,BRANCH,0.41496598639455784,147,61
org.apache.commons.compress.compressors.CompressorStreamFactory,BRANCH,0.8153846153846154,65,53
org.apache.commons.compress.compressors.deflate.DeflateCompressorInputStream,BRANCH,0.7142857142857143,21,15
org.apache.commons.compress.archivers.zip.X7875_NewUnix,BRANCH,1.0,30,30
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.8482142857142857,112,93
org.apache.commons.compress.archivers.sevenz.SevenZFile,BRANCH,0.023952095808383235,334,8
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,BRANCH,0.39325842696629215,178,70
org.apache.commons.compress.archivers.tar.TarArchiveEntry,BRANCH,0.6915422885572139,201,139
org.apache.commons.compress.utils.ArchiveUtils,BRANCH,0.8823529411764706,51,45
org.apache.commons.compress.utils.BitInputStream,BRANCH,1.0,25,25
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,BRANCH,0.1524163568773234,269,41
org.apache.commons.compress.archivers.zip.UnixStat,BRANCH,0.0,0,0
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,BRANCH,0.975609756097561,164,160
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,BRANCH,0.859375,320,275
org.apache.commons.compress.utils.ChecksumCalculatingInputStream,BRANCH,1.0,12,12
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.9137931034482759,116,106
org.apache.commons.compress.archivers.zip.X5455_ExtendedTimestamp,BRANCH,1.0,117,117
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,BRANCH,0.1353135313531353,303,41
org.apache.commons.collections4.IteratorUtils,BRANCH,0.9294117647058824,170,158
org.apache.commons.collections4.keyvalue.MultiKey,BRANCH,1.0,23,23
org.apache.commons.collections4.map.MultiValueMap,BRANCH,0.7241379310344828,87,64
org.apache.commons.collections4.trie.AbstractPatriciaTrie,BRANCH,0.555921052631579,608,338
