:,ArchiveStreamFactoryTest::aiffFilesAreNoTARs,ArchiveStreamFactoryTest::shortTextFilesAreNoTARs,
ArchiveStreamFactoryTest::aiffFilesAreNoTARs ,0,3,
ArchiveStreamFactoryTest::shortTextFilesAreNoTARs ,3,0,
