: ,T1,T2,T3,T4,T5,T6,T7
T1,0,5,4,4,3,4,14
T2,5,0,7,8,5,9,15
T3,4,7,0,5,5,5,11
T4,4,8,5,0,4,5,15
T5,3,5,5,4,0,4,14
T6,4,9,5,5,4,0,15
T7,14,15,11,15,14,15,0
