: ,T1,T2,T3,T4,T5,T6,T7
T1,0,7,4,6,3,4,16
T2,7,0,9,10,10,10,16
T3,4,9,0,5,5,5,15
T4,6,10,5,0,6,6,16
T5,3,10,5,6,0,4,17
T6,4,10,5,6,4,0,17
T7,16,16,15,16,17,17,0
