: ,T1,T2,T3,T4,T5,T6,T7
T1,0,200.53,76.23,108.62,39.84,209.6,224.12
T2,200.53,0,180.47,200.72,204.45,289.34,213.33
T3,76.23,180.47,0,109.99,101.01,186.97,206.18
T4,108.62,200.72,109.99,0,123.77,213.82,197.07
T5,39.84,204.45,101.01,123.77,0,249.44,238.01
T6,209.6,289.34,186.97,213.82,249.44,0,261.91
T7,224.12,213.33,206.18,197.07,238.01,261.91,0
