Project,ID,Size,SignatureTime,PrioritizationTime
jsoup,35,3700,14.23,9.53
jsoup,4,149,0.54,0.02
jsoup,40,195,1.0,0.03
jsoup,29,3830,12.76,10.64
jsoup,26,861,3.84,0.59
jsoup,20,165,0.4,0.02
jsoup,38,2485,10.15,4.29
jsoup,33,3165,11.32,6.9
jsoup,37,3798,12.51,10.11
jsoup,19,698,3.2,0.35
jsoup,16,186,1.02,0.03
jsoup,36,230,0.83,0.05
jsoup,15,1432,6.13,1.43
jsoup,27,52,0.19,0.0
jsoup,30,433,1.67,0.14
jsoup,39,106,0.56,0.01
