Project,ID,Size,SignatureTime,PrioritizationTime
compress,22,81,0.56,0.16
compress,24,2547,8.75,4.92
compress,27,2545,9.0,4.96
compress,11,538,2.53,0.57
compress,26,2503,6.48,4.88
compress,16,336,1.52,0.25
compress,1,2390,7.89,4.47
