Project,ID,Size,SignatureTime,PrioritizationTime
lang,24,2187,2.61,3.3
lang,23,1528,5.2,1.63
lang,15,149,0.87,0.02
lang,27,2188,2.69,3.36
lang,33,1717,4.35,2.07
lang,17,1716,4.15,2.0
lang,28,808,3.72,0.46
lang,22,3823,7.59,10.21
lang,25,2014,3.36,2.78
lang,4,1507,5.1,1.6
lang,16,2211,2.72,3.37
lang,31,2578,3.05,4.46
lang,19,1686,6.86,2.01
lang,6,1415,2.88,1.38
lang,35,2157,4.84,3.3
