Project,ID,Size,SignatureTime,PrioritizationTime
csv,16,1202,4.16,1.02
csv,4,1988,6.22,2.71
csv,12,2151,5.86,3.12
csv,10,789,3.04,0.45
csv,3,2073,6.35,2.94
csv,2,2026,5.26,2.75
csv,5,1335,6.02,1.23
csv,8,2088,5.15,3.57
csv,11,995,3.25,0.7
csv,7,1213,4.18,1.01
