math,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,5.26,6.35,6.22,6.02,4.18,5.15,3.04,3.25,5.86,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-BYTECODE,2.29,2.1,1.86,2.37,1.19,1.76,1.08,1,1.88,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-FILTER,1.1,0.76,0.68,0.62,0.46,0.63,0.29,0.31,0.69,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,21980.34,43121.32,37589.75,87609.76,14627.43,31301.62,18891.55,12076.68,33471.6,16405.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-BYTECODE,88.52,143.34,77.06,255.98,33.13,67.19,35.99,29.37,94.29,27.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-FILTER,29.63,46.81,21.7,73.05,10.54,17.24,8.48,8.03,28.46,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,7.89,2.53,1.52,0.56,8.75,6.48,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-BYTECODE,3.46,1.42,0.35,0.04,3.2,2.98,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-FILTER,1.47,0.66,0.12,0.02,1.15,0.76,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,144054.05,25601.66,1891.46,25.16,128696.65,80825.08,124760.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-BYTECODE,257.06,33.82,3.6,0.05,481.55,382.74,506.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-FILTER,78.33,8.66,1.15,0.02,186.14,181.79,207.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,33.14,4.97,2.51,2.61,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-BYTECODE,3.16,1.59,0.7,0.75,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-FILTER,1.01,0.56,0.31,0.29,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,95995.26,22654.98,3012.38,4882.04,51236.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-BYTECODE,197.84,80.94,12.72,16.12,97.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-FILTER,36.86,27.53,5.09,5.43,24.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,0.82,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-BYTECODE,0.49,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-FILTER,0.53,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,13.4,619.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-BYTECODE,0.45,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-FILTER,0.23,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
