:,Cleaner_ESTest::test0,Cleaner_ESTest::test1,Cleaner_ESTest::test2,Cleaner_ESTest::test3,Cleaner_ESTest::test4,
Cleaner_ESTest::test0 ,0,1,1,1,10,
Cleaner_ESTest::test1 ,1,0,1,0,10,
Cleaner_ESTest::test2 ,1,1,0,1,9,
Cleaner_ESTest::test3 ,1,0,1,0,10,
Cleaner_ESTest::test4 ,10,10,9,10,0,
